Category,Sentence,Pattern,Highlights
Present simple,E veio do coelhinho da Páscoa?,Subject + verb (present),"{""verbs"": [""do""]}"
Questions,E veio do coelhinho da Páscoa?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Prepositions,E veio do coelhinho da Páscoa?,noun + preposition + noun,"{""special"": [""do"", ""da""]}"
Connecting words,E veio do coelhinho da Páscoa?,clause + and/but/because + clause,"{""special"": [""e""]}"
Present simple,Olha!,Subject + verb (present),"{""verbs"": [""Olha""]}"
Present simple,Coelhinho da Páscoa.,Subject + verb (present),"{""verbs"": [""da""]}"
Prepositions,Coelhinho da Páscoa.,noun + preposition + noun,"{""special"": [""da""]}"
Present simple,Qual é a sua cor favorita?,Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),Qual é a sua cor favorita?,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Questions,Qual é a sua cor favorita?,Question word + aux + subject + verb,"{""special"": [""qual""]}"
Possessives,Qual é a sua cor favorita?,possessive + noun,"{""special"": [""sua""]}"
Prepositions,Qual é a sua cor favorita?,noun + preposition + noun,"{""special"": [""a""]}"
Personal information,Qual é a sua cor favorita?,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,"Azul, como você?",Subject + verb (present),"{""verbs"": [""como""]}"
Questions,"Azul, como você?",Question word + aux + subject + verb,"{""special"": [""como""]}"
Present simple,É um chapéu de cozinheiro com um ovo.,Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),É um chapéu de cozinheiro com um ovo.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Prepositions,É um chapéu de cozinheiro com um ovo.,noun + preposition + noun,"{""special"": [""de"", ""com""]}"
Numbers,É um chapéu de cozinheiro com um ovo.,noun + verb + number + noun,"{""special"": [""um"", ""um""]}"
Personal information,É um chapéu de cozinheiro com um ovo.,I + verb + personal detail,"{""special"": [""é""]}"
Questions,E o que isso quer dizer?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Connecting words,E o que isso quer dizer?,clause + and/but/because + clause,"{""special"": [""e""]}"
Present simple,"Bom, o cozinheiro trabalha na cozinha.",Subject + verb (present),"{""verbs"": [""trabalha""]}"
Prepositions,"Bom, o cozinheiro trabalha na cozinha.",noun + preposition + noun,"{""special"": [""na""]}"
Present simple,É!,Subject + verb (present),"{""verbs"": [""É""]}"
Present simple,O coelhinho da Páscoa sabe minha cor favorita.,Subject + verb (present),"{""verbs"": [""da""]}"
Possessives,O coelhinho da Páscoa sabe minha cor favorita.,possessive + noun,"{""special"": [""minha""]}"
Prepositions,O coelhinho da Páscoa sabe minha cor favorita.,noun + preposition + noun,"{""special"": [""da""]}"
Past simple,Não falei que ele se importava com você?,Pronouns + verb (past),"{""verbs"": [""falei""]}"
Negation,Não falei que ele se importava com você?,não + verb,"{""special"": [""não"", ""falei""]}"
Questions,Não falei que ele se importava com você?,Question word + aux + subject + verb,"{""special"": [""que""]}"
Prepositions,Não falei que ele se importava com você?,noun + preposition + noun,"{""special"": [""com""]}"
Gerund,"Desculpa, tô procurando os ovos de Páscoa.",be + verb-ing,"{""verbs"": [""procurando""]}"
Prepositions,"Desculpa, tô procurando os ovos de Páscoa.",noun + preposition + noun,"{""special"": [""de""]}"
Present simple,Podem estar em qualquer lugar.,Subject + verb (present),"{""verbs"": [""Podem""]}"
Modal verbs,Podem estar em qualquer lugar.,pronouns + poder + verb,"{""special"": [""Podem""]}"
Prepositions,Podem estar em qualquer lugar.,noun + preposition + noun,"{""special"": [""em""]}"
Present simple,"Bluey, olha,",Subject + verb (present),"{""verbs"": [""olha""]}"
Present simple,não estão aqui.,Subject + verb (present),"{""verbs"": [""estão""]}"
To be (ser/estar),não estão aqui.,Subject + ser/estar + noun/adjective,"{""special"": [""estão""]}"
Negation,não estão aqui.,não + verb,"{""special"": [""não"", ""estão""]}"
Present simple,"Peraí, tem ovo normal.",Subject + verb (present),"{""verbs"": [""tem""]}"
Personal information,"Peraí, tem ovo normal.",I + verb + personal detail,"{""special"": [""tem""]}"
Questions,Oh?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Present simple,O Queen da Páscoa não traz ovos normais.,Subject + verb (present),"{""verbs"": [""da""]}"
Prepositions,O Queen da Páscoa não traz ovos normais.,noun + preposition + noun,"{""special"": [""da""]}"
Prepositions,Ele traz ovos de chocolate.,noun + preposition + noun,"{""special"": [""de""]}"
Present simple,"Eu sei, mas olha aquele ali.",Subject + verb (present),"{""verbs"": [""olha""]}"
Connecting words,"Eu sei, mas olha aquele ali.",clause + and/but/because + clause,"{""special"": [""mas""]}"
Questions,Hã?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Questions,Um ovo de kiwi?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Prepositions,Um ovo de kiwi?,noun + preposition + noun,"{""special"": [""de""]}"
Numbers,Um ovo de kiwi?,noun + verb + number + noun,"{""special"": [""um""]}"
Present simple,"Ai, tem chocolate nisso?",Subject + verb (present),"{""verbs"": [""tem""]}"
Questions,"Ai, tem chocolate nisso?",Question word + aux + subject + verb,"{""special"": [""?""]}"
Personal information,"Ai, tem chocolate nisso?",I + verb + personal detail,"{""special"": [""tem""]}"
Present simple,Vamos ver?,Subject + verb (present),"{""verbs"": [""Vamos""]}"
Questions,Vamos ver?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Prepositions,"Não, sem chocolate.",noun + preposition + noun,"{""special"": [""sem""]}"
Present simple,Eu acho que eu já sei onde os ovos estão.,Subject + verb (present),"{""verbs"": [""acho""]}"
Adverbs of frequency,Eu acho que eu já sei onde os ovos estão.,Subject + adverb + verb,"{""special"": [""já""]}"
Prepositions,No tapete de Kimi.,noun + preposition + noun,"{""special"": [""no"", ""de""]}"
Present simple,Vou olhar aqui embaixo.,Subject + verb (present),"{""verbs"": [""Vou""]}"
Present simple,Não estou vendo eles.,Subject + verb (present),"{""verbs"": [""estou""]}"
To be (ser/estar),Não estou vendo eles.,Subject + ser/estar + noun/adjective,"{""special"": [""estou""]}"
Present continuous,Não estou vendo eles.,estar + verb-ing,"{""verbs"": [""vendo""]}"
Negation,Não estou vendo eles.,não + verb,"{""special"": [""não"", ""estou""]}"
Present simple,"Agora, o próximo animal que vão ver não é nada bonzinho.",Subject + verb (present),"{""verbs"": [""vão""]}"
To be (ser/estar),"Agora, o próximo animal que vão ver não é nada bonzinho.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Negation,"Agora, o próximo animal que vão ver não é nada bonzinho.",não + verb,"{""special"": [""não"", ""é""]}"
Present simple,É um grande macaco fedido.,Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),É um grande macaco fedido.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Numbers,É um grande macaco fedido.,noun + verb + number + noun,"{""special"": [""um""]}"
Personal information,É um grande macaco fedido.,I + verb + personal detail,"{""special"": [""é""]}"
Prepositions,"Pra trás, floco de neve!",noun + preposition + noun,"{""special"": [""de""]}"
Possessives,"Levanta daí, seu macacão!",possessive + noun,"{""special"": [""seu""]}"
Present simple,Os visitantes não querem te ver deitado o dia todo!,Subject + verb (present),"{""verbs"": [""querem""]}"
Negation,Os visitantes não querem te ver deitado o dia todo!,não + verb,"{""special"": [""não"", ""querem""]}"
Questions,O quê?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Gerund,"Macaco, dormindo!",be + verb-ing,"{""verbs"": [""dormindo""]}"
Gerund,dormindo!,be + verb-ing,"{""verbs"": [""dormindo""]}"
Present simple,Já chega!,Subject + verb (present),"{""verbs"": [""chega""]}"
Adverbs of frequency,Já chega!,Subject + adverb + verb,"{""special"": [""já""]}"
Possessives,"Não só pra ela, seu preguiçoso!",possessive + noun,"{""special"": [""seu""]}"
Adverbs of frequency,"Não só pra ela, seu preguiçoso!",Subject + adverb + verb,"{""special"": [""só""]}"
Questions,Que horror!,Question word + aux + subject + verb,"{""special"": [""que""]}"
Present simple,"Ah, esquece esse macaco.",Subject + verb (present),"{""verbs"": [""esquece""]}"
Present simple,Vamos conhecer os passarinhos.,Subject + verb (present),"{""verbs"": [""Vamos""]}"
Prepositions,"Venha, floco de neve.",noun + preposition + noun,"{""special"": [""de""]}"
Present simple,Esses passarinhos acham graça de tudo!,Subject + verb (present),"{""verbs"": [""acham""]}"
Prepositions,Esses passarinhos acham graça de tudo!,noun + preposition + noun,"{""special"": [""de""]}"
Present simple,"Ah, olha só que lindinhos, floco de neve!",Subject + verb (present),"{""verbs"": [""olha""]}"
Prepositions,"Ah, olha só que lindinhos, floco de neve!",noun + preposition + noun,"{""special"": [""de""]}"
Adverbs of frequency,"Ah, olha só que lindinhos, floco de neve!",Subject + adverb + verb,"{""special"": [""só""]}"
Questions,Floco de neve?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Prepositions,Floco de neve?,noun + preposition + noun,"{""special"": [""de""]}"
Prepositions,Floco de neve que abraço!,noun + preposition + noun,"{""special"": [""de""]}"
Prepositions,Floco de neve!,noun + preposition + noun,"{""special"": [""de""]}"
Present simple,Aquele gorila está com a floco de neve!,Subject + verb (present),"{""verbs"": [""está""]}"
To be (ser/estar),Aquele gorila está com a floco de neve!,Subject + ser/estar + noun/adjective,"{""special"": [""está""]}"
Prepositions,Aquele gorila está com a floco de neve!,noun + preposition + noun,"{""special"": [""com"", ""a"", ""de""]}"
Prepositions,Floco de neve abraça Macaco!,noun + preposition + noun,"{""special"": [""de""]}"
Present simple,Vou resolver isso imediatamente!,Subject + verb (present),"{""verbs"": [""Vou""]}"
Present simple,"Você vai ter cuidado com isso, não vai?",Subject + verb (present),"{""verbs"": [""vai""]}"
Negation,"Você vai ter cuidado com isso, não vai?",não + verb,"{""special"": [""não"", ""vai""]}"
Questions,"Você vai ter cuidado com isso, não vai?",Question word + aux + subject + verb,"{""special"": [""?""]}"
Prepositions,"Você vai ter cuidado com isso, não vai?",noun + preposition + noun,"{""special"": [""com""]}"
Present simple,Ele não pode fazer isso!,Subject + verb (present),"{""verbs"": [""pode""]}"
Modal verbs,Ele não pode fazer isso!,pronouns + poder + verb,"{""special"": [""pode""]}"
Negation,Ele não pode fazer isso!,não + verb,"{""special"": [""não"", ""pode""]}"
Present simple,É contra as regras dos macacos!,Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),É contra as regras dos macacos!,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Prepositions,É contra as regras dos macacos!,noun + preposition + noun,"{""special"": [""dos""]}"
Personal information,É contra as regras dos macacos!,I + verb + personal detail,"{""special"": [""é""]}"
Possessives,Tenha cuidado com a minha floquinha de neve!,possessive + noun,"{""special"": [""minha""]}"
Prepositions,Tenha cuidado com a minha floquinha de neve!,noun + preposition + noun,"{""special"": [""com"", ""a"", ""de""]}"
Questions,A senhora gostaria de conhecer nossa coleção de répteis?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Possessives,A senhora gostaria de conhecer nossa coleção de répteis?,possessive + noun,"{""special"": [""nossa""]}"
Prepositions,A senhora gostaria de conhecer nossa coleção de répteis?,noun + preposition + noun,"{""special"": [""a"", ""de"", ""de""]}"
Present simple,Podem trazer o brilhinho!,Subject + verb (present),"{""verbs"": [""Podem""]}"
Modal verbs,Podem trazer o brilhinho!,pronouns + poder + verb,"{""special"": [""Podem""]}"
Present simple,São o cavalo mais sortudo do mundo!,Subject + verb (present),"{""verbs"": [""São""]}"
To be (ser/estar),São o cavalo mais sortudo do mundo!,Subject + ser/estar + noun/adjective,"{""special"": [""são""]}"
Prepositions,São o cavalo mais sortudo do mundo!,noun + preposition + noun,"{""special"": [""do""]}"
Comparatives,São o cavalo mais sortudo do mundo!,adjective + mais/menos + que,"{""special"": [""mais""]}"
Present simple,"Cavalos, não podem falar!",Subject + verb (present),"{""verbs"": [""podem""]}"
Modal verbs,"Cavalos, não podem falar!",pronouns + poder + verb,"{""special"": [""podem""]}"
Negation,"Cavalos, não podem falar!",não + verb,"{""special"": [""não"", ""podem""]}"
Present simple,"Senhoras e senhores, o Brilhinho vai se casar com o Galante hoje!",Subject + verb (present),"{""verbs"": [""vai""]}"
Prepositions,"Senhoras e senhores, o Brilhinho vai se casar com o Galante hoje!",noun + preposition + noun,"{""special"": [""com""]}"
Connecting words,"Senhoras e senhores, o Brilhinho vai se casar com o Galante hoje!",clause + and/but/because + clause,"{""special"": [""e""]}"
Gerund,Não tá funcionando!,be + verb-ing,"{""verbs"": [""funcionando""]}"
Present simple,Vocês podem falar algumas coisas!,Subject + verb (present),"{""verbs"": [""podem""]}"
Modal verbs,Vocês podem falar algumas coisas!,pronouns + poder + verb,"{""special"": [""podem""]}"
Present simple,"Ah, eu não vou casar com ele não.",Subject + verb (present),"{""verbs"": [""vou""]}"
Negation,"Ah, eu não vou casar com ele não.",não + verb,"{""special"": [""não"", ""vou""]}"
Prepositions,"Ah, eu não vou casar com ele não.",noun + preposition + noun,"{""special"": [""com""]}"
Present simple,Meu coração está partindo.,Subject + verb (present),"{""verbs"": [""está""]}"
To be (ser/estar),Meu coração está partindo.,Subject + ser/estar + noun/adjective,"{""special"": [""está""]}"
Gerund,Meu coração está partindo.,be + verb-ing,"{""verbs"": [""partindo""]}"
Possessives,Meu coração está partindo.,possessive + noun,"{""special"": [""meu""]}"
Present simple,Eu disse que os cavalos não podem falar.,Subject + verb (present),"{""verbs"": [""podem""]}"
Modal verbs,Eu disse que os cavalos não podem falar.,pronouns + poder + verb,"{""special"": [""podem""]}"
Negation,Eu disse que os cavalos não podem falar.,não + verb,"{""special"": [""não"", ""podem""]}"
Present simple,"Oh, quero dizer.",Subject + verb (present),"{""verbs"": [""quero""]}"
Modal verbs,"Oh, quero dizer.",pronouns + querer + verb,"{""special"": [""quero""]}"
Present simple,Deixa eles se casarem.,Subject + verb (present),"{""verbs"": [""Deixa""]}"
Present simple,Agora vocês podem se casar.,Subject + verb (present),"{""verbs"": [""podem""]}"
Present simple,Ela disse que vocês já podem se casar agora!,Subject + verb (present),"{""verbs"": [""podem""]}"
Adverbs of frequency,Ela disse que vocês já podem se casar agora!,Subject + adverb + verb,"{""special"": [""já""]}"
Present simple,"Você tem que dizer, eu aceito!",Subject + verb (present),"{""verbs"": [""tem""]}"
Personal information,"Você tem que dizer, eu aceito!",I + verb + personal detail,"{""special"": [""tem""]}"
Present simple,"É, mas na língua de cavalo!",Subject + verb (present),"{""verbs"": [""É""]}"
Prepositions,"É, mas na língua de cavalo!",noun + preposition + noun,"{""special"": [""na"", ""de""]}"
Connecting words,"É, mas na língua de cavalo!",clause + and/but/because + clause,"{""special"": [""mas""]}"
Present simple,"Volta aqui, Brilhinho!",Subject + verb (present),"{""verbs"": [""Volta""]}"
Present simple,Você tem que falar direito!,Subject + verb (present),"{""verbs"": [""tem""]}"
Personal information,Você tem que falar direito!,I + verb + personal detail,"{""special"": [""tem""]}"
Present simple,Vai,Subject + verb (present),"{""verbs"": [""Vai""]}"
Present simple,Para onde ele foi?,Subject + verb (present),"{""verbs"": [""Para""]}"
Past simple,Para onde ele foi?,Pronouns + verb (past),"{""verbs"": [""foi""]}"
Questions,Para onde ele foi?,Question word + aux + subject + verb,"{""special"": [""onde""]}"
Prepositions,Para onde ele foi?,noun + preposition + noun,"{""special"": [""para""]}"
Present simple,"Esperando para avançar, a bola foi lançada Ele está assistindo o Cricket!",Subject + verb (present),"{""verbs"": [""para""]}"
Past simple,"Esperando para avançar, a bola foi lançada Ele está assistindo o Cricket!",Pronouns + verb (past),"{""verbs"": [""foi""]}"
To be (ser/estar),"Esperando para avançar, a bola foi lançada Ele está assistindo o Cricket!",Subject + ser/estar + noun/adjective,"{""special"": [""foi"", ""está""]}"
Gerund,"Esperando para avançar, a bola foi lançada Ele está assistindo o Cricket!",be + verb-ing,"{""verbs"": [""Esperando""]}"
Prepositions,"Esperando para avançar, a bola foi lançada Ele está assistindo o Cricket!",noun + preposition + noun,"{""special"": [""para"", ""a""]}"
Past simple,Alguém viu meus óculos?,Pronouns + verb (past),"{""verbs"": [""viu""]}"
Questions,Alguém viu meus óculos?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Possessives,Alguém viu meus óculos?,possessive + noun,"{""special"": [""meus""]}"
Past simple,"Tá legal, meninas, isso já passou dos limites.",Pronouns + verb (past),"{""verbs"": [""passou""]}"
Prepositions,"Tá legal, meninas, isso já passou dos limites.",noun + preposition + noun,"{""special"": [""dos""]}"
Adverbs of frequency,"Tá legal, meninas, isso já passou dos limites.",Subject + adverb + verb,"{""special"": [""já""]}"
Present simple,Temos que tratar ele de forma especial.,Subject + verb (present),"{""verbs"": [""Temos""]}"
Prepositions,Temos que tratar ele de forma especial.,noun + preposition + noun,"{""special"": [""de""]}"
Present simple,"Vem aqui, amorzinho.",Subject + verb (present),"{""verbs"": [""Vem""]}"
Present simple,"Querida, você pode me ajudar?",Subject + verb (present),"{""verbs"": [""pode""]}"
Questions,"Querida, você pode me ajudar?",Question word + aux + subject + verb,"{""special"": [""?""]}"
Present simple,Como está o meu macaquinho?,Subject + verb (present),"{""verbs"": [""Como""]}"
To be (ser/estar),Como está o meu macaquinho?,Subject + ser/estar + noun/adjective,"{""special"": [""está""]}"
Questions,Como está o meu macaquinho?,Question word + aux + subject + verb,"{""special"": [""como""]}"
Possessives,Como está o meu macaquinho?,possessive + noun,"{""special"": [""meu""]}"
Present simple,"Ei, cara, essa esposa é minha.",Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),"Ei, cara, essa esposa é minha.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Present simple,Não é mais não.,Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),Não é mais não.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Negation,Não é mais não.,não + verb,"{""special"": [""não"", ""é""]}"
Personal information,Não é mais não.,I + verb + personal detail,"{""special"": [""é""]}"
Past simple,A mamãe casou com o senhor macaco atleta.,Pronouns + verb (past),"{""verbs"": [""casou""]}"
Prepositions,A mamãe casou com o senhor macaco atleta.,noun + preposition + noun,"{""special"": [""a"", ""com""]}"
Questions,Quando isso aconteceu?,Question word + aux + subject + verb,"{""special"": [""quando""]}"
Present simple,Eu ia contar para você.,Subject + verb (present),"{""verbs"": [""para""]}"
Prepositions,Eu ia contar para você.,noun + preposition + noun,"{""special"": [""para""]}"
Past simple,Você me deixou por um macaco?,Pronouns + verb (past),"{""verbs"": [""deixou""]}"
Questions,Você me deixou por um macaco?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Prepositions,Você me deixou por um macaco?,noun + preposition + noun,"{""special"": [""por""]}"
Numbers,Você me deixou por um macaco?,noun + verb + number + noun,"{""special"": [""um""]}"
Present simple,"Me desculpe, querido, tem uma coisa muito especial nele.",Subject + verb (present),"{""verbs"": [""tem""]}"
Numbers,"Me desculpe, querido, tem uma coisa muito especial nele.",noun + verb + number + noun,"{""special"": [""uma""]}"
Personal information,"Me desculpe, querido, tem uma coisa muito especial nele.",I + verb + personal detail,"{""special"": [""tem""]}"
Present simple,O que é que eu vou fazer?,Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),O que é que eu vou fazer?,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Questions,O que é que eu vou fazer?,Question word + aux + subject + verb,"{""special"": [""que"", ""que""]}"
Personal information,O que é que eu vou fazer?,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,Como é que é?,Subject + verb (present),"{""verbs"": [""Como""]}"
To be (ser/estar),Como é que é?,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Questions,Como é que é?,Question word + aux + subject + verb,"{""special"": [""como"", ""que""]}"
Personal information,Como é que é?,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,Você pode ser o mordomo dele.,Subject + verb (present),"{""verbs"": [""pode""]}"
Modal verbs,Você pode ser o mordomo dele.,pronouns + poder + verb,"{""special"": [""pode""]}"
Present simple,"É verdade, eu vou adorar.",Subject + verb (present),"{""verbs"": [""É""]}"
To be (ser/estar),"É verdade, eu vou adorar.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Personal information,"É verdade, eu vou adorar.",I + verb + personal detail,"{""special"": [""é""]}"
Present simple,"Como posso servi-lo, senhor?",Subject + verb (present),"{""verbs"": [""Como""]}"
Questions,"Como posso servi-lo, senhor?",Question word + aux + subject + verb,"{""special"": [""como""]}"
Present simple,"Sim, senhor, é para já.",Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),"Sim, senhor, é para já.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Prepositions,"Sim, senhor, é para já.",noun + preposition + noun,"{""special"": [""para""]}"
Personal information,"Sim, senhor, é para já.",I + verb + personal detail,"{""special"": [""é""]}"
Present simple,Você vai se arrepender disso.,Subject + verb (present),"{""verbs"": [""vai""]}"
Present simple,"Ei, o que está acontecendo?",Subject + verb (present),"{""verbs"": [""está""]}"
To be (ser/estar),"Ei, o que está acontecendo?",Subject + ser/estar + noun/adjective,"{""special"": [""está""]}"
Questions,"Ei, o que está acontecendo?",Question word + aux + subject + verb,"{""special"": [""que""]}"
Present simple,Macaco Atleta não gosta de osso na cama dele.,Subject + verb (present),"{""verbs"": [""gosta""]}"
Negation,Macaco Atleta não gosta de osso na cama dele.,não + verb,"{""special"": [""não"", ""gosta""]}"
Prepositions,Macaco Atleta não gosta de osso na cama dele.,noun + preposition + noun,"{""special"": [""de"", ""na""]}"
Present simple,Ele gosta de bananas.,Subject + verb (present),"{""verbs"": [""gosta""]}"
Prepositions,Ele gosta de bananas.,noun + preposition + noun,"{""special"": [""de""]}"
Questions,Cama dele?,Question word + aux + subject + verb,"{""special"": [""?""]}"
Present simple,Essa cama não é dele.,Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),Essa cama não é dele.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Negation,Essa cama não é dele.,não + verb,"{""special"": [""não"", ""é""]}"
Present simple,Essa cama é minha.,Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),Essa cama é minha.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Personal information,Essa cama é minha.,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,Não é mais.,Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),Não é mais.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Negation,Não é mais.,não + verb,"{""special"": [""não"", ""é""]}"
Personal information,Não é mais.,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,Esse é o 4º dele agora.,Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),Esse é o 4º dele agora.,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Possessives,Esse é o 4º dele agora.,possessive + noun,"{""special"": [""dele""]}"
Personal information,Esse é o 4º dele agora.,I + verb + personal detail,"{""special"": [""é""]}"
Connecting words,Mas que ousadia!,clause + and/but/because + clause,"{""special"": [""mas""]}"
Present simple,Agora eu vou medir a cintura.,Subject + verb (present),"{""verbs"": [""vou""]}"
Prepositions,Agora eu vou medir a cintura.,noun + preposition + noun,"{""special"": [""a""]}"
Present simple,"Ei, essa é a roupa do Miku Chulé.",Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),"Ei, essa é a roupa do Miku Chulé.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Prepositions,"Ei, essa é a roupa do Miku Chulé.",noun + preposition + noun,"{""special"": [""a"", ""do""]}"
Personal information,"Ei, essa é a roupa do Miku Chulé.",I + verb + personal detail,"{""special"": [""é""]}"
Present simple,E o chapéu da Senhora Cintilante.,Subject + verb (present),"{""verbs"": [""da""]}"
Prepositions,E o chapéu da Senhora Cintilante.,noun + preposition + noun,"{""special"": [""da""]}"
Connecting words,E o chapéu da Senhora Cintilante.,clause + and/but/because + clause,"{""special"": [""e""]}"
Present simple,Mas não pode dar as coisas pra ele só porque ele disse que queria.,Subject + verb (present),"{""verbs"": [""pode""]}"
Modal verbs,Mas não pode dar as coisas pra ele só porque ele disse que queria.,pronouns + poder + verb,"{""special"": [""pode""]}"
Negation,Mas não pode dar as coisas pra ele só porque ele disse que queria.,não + verb,"{""special"": [""não"", ""pode""]}"
Connecting words,Mas não pode dar as coisas pra ele só porque ele disse que queria.,clause + and/but/because + clause,"{""special"": [""mas"", ""porque""]}"
Adverbs of frequency,Mas não pode dar as coisas pra ele só porque ele disse que queria.,Subject + adverb + verb,"{""special"": [""só""]}"
Present simple,Eu sou só o mordomo.,Subject + verb (present),"{""verbs"": [""sou""]}"
To be (ser/estar),Eu sou só o mordomo.,Subject + ser/estar + noun/adjective,"{""special"": [""sou""]}"
Personal information,Eu sou só o mordomo.,I + verb + personal detail,"{""special"": [""sou""]}"
Adverbs of frequency,Eu sou só o mordomo.,Subject + adverb + verb,"{""special"": [""só""]}"
Present simple,"Se tiver algum problema, é melhor falar com o macaco.",Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),"Se tiver algum problema, é melhor falar com o macaco.",Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Prepositions,"Se tiver algum problema, é melhor falar com o macaco.",noun + preposition + noun,"{""special"": [""com""]}"
Present simple,"Ah, mas eu vou mesmo.",Subject + verb (present),"{""verbs"": [""vou""]}"
Connecting words,"Ah, mas eu vou mesmo.",clause + and/but/because + clause,"{""special"": [""mas""]}"
Present simple,Eu acho que tá na hora de uma certa pessoa arrumar outro lugar pra morar.,Subject + verb (present),"{""verbs"": [""acho""]}"
Prepositions,Eu acho que tá na hora de uma certa pessoa arrumar outro lugar pra morar.,noun + preposition + noun,"{""special"": [""na"", ""de""]}"
Numbers,Eu acho que tá na hora de uma certa pessoa arrumar outro lugar pra morar.,noun + verb + number + noun,"{""special"": [""uma""]}"
Present simple,não falei da gente!,Subject + verb (present),"{""verbs"": [""da""]}"
Past simple,não falei da gente!,Pronouns + verb (past),"{""verbs"": [""falei""]}"
Negation,não falei da gente!,não + verb,"{""special"": [""não"", ""falei""]}"
Prepositions,não falei da gente!,noun + preposition + noun,"{""special"": [""da""]}"
Past simple,"Foi dolorido, mas foi justo, senhor.",Pronouns + verb (past),"{""verbs"": [""Foi""]}"
To be (ser/estar),"Foi dolorido, mas foi justo, senhor.",Subject + ser/estar + noun/adjective,"{""special"": [""foi"", ""foi""]}"
Connecting words,"Foi dolorido, mas foi justo, senhor.",clause + and/but/because + clause,"{""special"": [""mas""]}"
Gerund,"Você não tá sendo um pouco injusto, meu querido macaquinho?",be + verb-ing,"{""verbs"": [""sendo""]}"
Questions,"Você não tá sendo um pouco injusto, meu querido macaquinho?",Question word + aux + subject + verb,"{""special"": [""?""]}"
Possessives,"Você não tá sendo um pouco injusto, meu querido macaquinho?",possessive + noun,"{""special"": [""meu""]}"
Numbers,"Você não tá sendo um pouco injusto, meu querido macaquinho?",noun + verb + number + noun,"{""special"": [""um""]}"
Present simple,Esse macaco é muito atrifito!,Subject + verb (present),"{""verbs"": [""é""]}"
To be (ser/estar),Esse macaco é muito atrifito!,Subject + ser/estar + noun/adjective,"{""special"": [""é""]}"
Personal information,Esse macaco é muito atrifito!,I + verb + personal detail,"{""special"": [""é""]}"
Present simple,Como ele pode mandar a gente embora de casa?,Subject + verb (present),"{""verbs"": [""Como""]}"
Modal verbs,Como ele pode mandar a gente embora de casa?,pronouns + poder + verb,"{""special"": [""pode""]}"
Questions,Como ele pode mandar a gente embora de casa?,Question word + aux + subject + verb,"{""special"": [""como""]}"
Prepositions,Como ele pode mandar a gente embora de casa?,noun + preposition + noun,"{""special"": [""a"", ""de""]}"
Present simple,Como ele foi grosso?,Subject + verb (present),"{""verbs"": [""Como""]}"
Past simple,Como ele foi grosso?,Pronouns + verb (past),"{""verbs"": [""foi""]}"
